model_name,protocol,fold_id,test_center,validation_center,n_test,cin3_pos_test,cin2_pos_test,threshold_cin2_f1_val,threshold_cin3_safety_val,safety_floor_target,safety_floor_met_on_validation,cin3_sensitivity_test,cin3_specificity_test,cin3_ppv_test,cin3_npv_test,cin3_false_negatives_test,cin3_false_positives_test,cin2_sensitivity_test,cin2_specificity_test,cin2_false_negatives_test,referral_rate_test,notes
BioMedCLIP_Finetuned,strict_loco,loco_十堰市人民医院,十堰市人民医院,武大人民医院,496,4,28,0.9997190545669044,0.9998472794987808,0.95,True,0.0,1.0,,0.9919354838709677,4,0,0.0,1.0,28,0.0,
BioMedCLIP_Finetuned,strict_loco,loco_恩施州中心医院,恩施州中心医院,武大人民医院,406,64,130,0.9981627675723475,0.9999942398785777,0.95,True,0.109375,0.9941520467836257,0.7777777777777778,0.8564231738035264,57,2,0.2,0.9855072463768116,104,0.07389162561576355,
BioMedCLIP_Finetuned,strict_loco,loco_武大人民医院,武大人民医院,恩施州中心医院,89,49,89,0.0999531533732632,0.2138138275103581,0.95,True,0.7551020408163265,0.425,0.6166666666666667,0.5862068965517241,12,23,0.6966292134831461,,27,0.6966292134831461,
BioMedCLIP_Finetuned,strict_loco,loco_荆州市第一人民医院,荆州市第一人民医院,武大人民医院,406,13,37,0.9969987130467736,0.9993925828425174,0.95,True,0.3076923076923077,0.7964376590330788,0.047619047619047616,0.9720496894409938,9,80,0.3783783783783784,0.7235772357723578,23,0.2857142857142857,
BioMedCLIP_Finetuned,strict_loco,loco_襄阳市中心医院,襄阳市中心医院,武大人民医院,500,61,110,0.9647485475701844,0.9999841081527354,0.95,True,0.06557377049180328,0.9817767653758542,0.3333333333333333,0.8831967213114754,57,8,0.37272727272727274,0.7333333333333333,69,0.29,
ClinicalOnly_Logistic,strict_loco,loco_十堰市人民医院,十堰市人民医院,武大人民医院,496,4,28,0.4212295623120729,0.4212295623120729,0.95,True,0.5,0.5995934959349594,0.010050251256281407,0.9932659932659933,2,197,0.8214285714285714,0.6239316239316239,5,0.4012096774193548,
ClinicalOnly_Logistic,strict_loco,loco_恩施州中心医院,恩施州中心医院,武大人民医院,406,64,130,0.2488724552470733,0.5088197350683518,0.95,True,0.8125,0.3654970760233918,0.19330855018587362,0.9124087591240876,12,217,0.9538461538461539,0.21739130434782608,6,0.8374384236453202,
ClinicalOnly_Logistic,strict_loco,loco_武大人民医院,武大人民医院,恩施州中心医院,89,49,89,0.6731315193158709,0.3016154094970198,0.95,True,1.0,0.0,0.550561797752809,,0,40,0.5393258426966292,,41,0.5393258426966292,
ClinicalOnly_Logistic,strict_loco,loco_荆州市第一人民医院,荆州市第一人民医院,武大人民医院,406,13,37,0.21610894347526083,0.4591452420189747,0.95,True,0.46153846153846156,0.816793893129771,0.07692307692307693,0.9786585365853658,7,72,0.972972972972973,0.38482384823848237,1,0.6477832512315271,
ClinicalOnly_Logistic,strict_loco,loco_襄阳市中心医院,襄阳市中心医院,武大人民医院,500,61,110,0.4167746553485808,0.6851918553796911,0.95,True,0.4918032786885246,0.5261958997722096,0.12605042016806722,0.8816793893129771,31,208,0.5636363636363636,0.28717948717948716,48,0.68,
ClinicalOnly_XGBoost,strict_loco,loco_十堰市人民医院,十堰市人民医院,武大人民医院,496,4,28,0.0941759156518344,0.0941759156518344,0.95,True,0.75,0.5447154471544715,0.013215859030837005,0.9962825278810409,1,224,0.75,0.5598290598290598,7,0.4576612903225806,
ClinicalOnly_XGBoost,strict_loco,loco_恩施州中心医院,恩施州中心医院,武大人民医院,406,64,130,0.0193663894545278,0.0636280667540321,0.95,True,0.953125,0.25146198830409355,0.19242902208201892,0.9662921348314607,3,256,0.9538461538461539,0.17753623188405798,6,0.8645320197044335,
ClinicalOnly_XGBoost,strict_loco,loco_武大人民医院,武大人民医院,恩施州中心医院,89,49,89,0.2242317192505384,0.1256265191287772,0.95,True,0.7346938775510204,0.25,0.5454545454545454,0.43478260869565216,13,30,0.4943820224719101,,45,0.4943820224719101,
ClinicalOnly_XGBoost,strict_loco,loco_荆州市第一人民医院,荆州市第一人民医院,武大人民医院,406,13,37,0.0803151655377655,0.0803151655377655,0.95,True,0.6923076923076923,0.5292620865139949,0.04639175257731959,0.9811320754716981,4,185,0.7837837837837838,0.5528455284552846,8,0.47783251231527096,
ClinicalOnly_XGBoost,strict_loco,loco_襄阳市中心医院,襄阳市中心医院,武大人民医院,500,61,110,0.1396136800247357,0.3501419177544038,0.95,True,0.4918032786885246,0.5284738041002278,0.12658227848101267,0.8821292775665399,31,207,0.5,0.37948717948717947,55,0.594,
ColposcopyOCTText_CrossAttention,strict_loco,loco_十堰市人民医院,十堰市人民医院,武大人民医院,496,4,28,0.9998982943939716,0.9998982943939716,0.95,True,0.25,1.0,1.0,0.9939393939393939,3,0,0.03571428571428571,1.0,27,0.0020161290322580645,
ColposcopyOCTText_CrossAttention,strict_loco,loco_恩施州中心医院,恩施州中心医院,武大人民医院,406,64,130,0.9999978466572964,0.999999684436714,0.95,True,0.078125,0.9970760233918129,0.8333333333333334,0.8525,59,1,0.08461538461538462,1.0,119,0.027093596059113302,
ColposcopyOCTText_CrossAttention,strict_loco,loco_武大人民医院,武大人民医院,恩施州中心医院,89,49,89,0.2036527464230306,0.2036527464230306,0.95,True,0.9183673469387755,0.175,0.5769230769230769,0.6363636363636364,4,33,0.8764044943820225,,11,0.8764044943820225,
ColposcopyOCTText_CrossAttention,strict_loco,loco_荆州市第一人民医院,荆州市第一人民医院,武大人民医院,406,13,37,0.9999990396596796,0.9999990396596796,0.95,True,0.07692307692307693,0.9592875318066157,0.058823529411764705,0.9691516709511568,12,16,0.05405405405405406,0.959349593495935,35,0.04187192118226601,
ColposcopyOCTText_CrossAttention,strict_loco,loco_襄阳市中心医院,襄阳市中心医院,武大人民医院,500,61,110,0.9999787134897484,0.9999999994405186,0.95,True,0.0,1.0,,0.878,61,0,0.1,0.9615384615384616,99,0.052,
ColposcopyOCT_EarlyConcat,strict_loco,loco_十堰市人民医院,十堰市人民医院,武大人民医院,496,4,28,0.9990975319337329,0.9998877033917056,0.95,True,0.0,1.0,,0.9919354838709677,4,0,0.0,0.9935897435897436,28,0.006048387096774193,
ColposcopyOCT_EarlyConcat,strict_loco,loco_恩施州中心医院,恩施州中心医院,武大人民医院,406,64,130,0.9991288992498429,0.9991288992498429,0.95,True,0.21875,0.9619883040935673,0.5185185185185185,0.8680738786279684,50,13,0.16923076923076924,0.9818840579710145,108,0.0665024630541872,
ColposcopyOCT_EarlyConcat,strict_loco,loco_武大人民医院,武大人民医院,恩施州中心医院,89,49,89,0.1344045007933312,0.0121255091176864,0.95,True,0.8571428571428571,0.2,0.5675675675675675,0.5333333333333333,7,32,0.6179775280898876,,34,0.6179775280898876,
ColposcopyOCT_EarlyConcat,strict_loco,loco_荆州市第一人民医院,荆州市第一人民医院,武大人民医院,406,13,37,0.9890175708118912,0.999571297752922,0.95,True,0.23076923076923078,0.7608142493638677,0.030927835051546393,0.9676375404530745,10,94,0.3783783783783784,0.6016260162601627,23,0.39655172413793105,
ColposcopyOCT_EarlyConcat,strict_loco,loco_襄阳市中心医院,襄阳市中心医院,武大人民医院,500,61,110,0.9312503156746331,0.9997635343314666,0.95,True,0.16393442622950818,0.9248291571753986,0.23255813953488372,0.888402625820569,51,33,0.42727272727272725,0.6641025641025641,63,0.356,
ColposcopyOCT_LateFusion,strict_loco,loco_十堰市人民医院,十堰市人民医院,武大人民医院,496,4,28,0.5883646398280241,0.6289315317288928,0.95,True,0.25,0.9247967479674797,0.02631578947368421,0.9934497816593887,3,37,0.17857142857142858,0.9166666666666666,23,0.08870967741935484,
ColposcopyOCT_LateFusion,strict_loco,loco_恩施州中心医院,恩施州中心医院,武大人民医院,406,64,130,0.5828442863047787,0.5828442863047787,0.95,True,0.4375,0.8421052631578947,0.34146341463414637,0.8888888888888888,36,54,0.36153846153846153,0.8731884057971014,83,0.2019704433497537,
ColposcopyOCT_LateFusion,strict_loco,loco_武大人民医院,武大人民医院,恩施州中心医院,89,49,89,0.415498317960309,0.1165041220532328,0.95,True,0.7142857142857143,0.5,0.6363636363636364,0.5882352941176471,14,20,0.4157303370786517,,52,0.4157303370786517,
ColposcopyOCT_LateFusion,strict_loco,loco_荆州市第一人民医院,荆州市第一人民医院,武大人民医院,406,13,37,0.765965832596593,0.9155981548558708,0.95,True,0.15384615384615385,0.7786259541984732,0.02247191011235955,0.9652996845425867,11,87,0.21621621621621623,0.6747967479674797,29,0.31527093596059114,
ColposcopyOCT_LateFusion,strict_loco,loco_襄阳市中心医院,襄阳市中心医院,武大人民医院,500,61,110,0.22348059885164454,0.5540630477838984,0.95,True,0.5573770491803278,0.7129840546697038,0.2125,0.9205882352941176,27,126,0.7909090909090909,0.32564102564102565,23,0.7,
ColposcopyOnly_ViT,strict_loco,loco_十堰市人民医院,十堰市人民医院,武大人民医院,496,4,28,0.6943529019485931,0.6943529019485931,0.95,True,0.5,0.5752032520325203,0.009478672985781991,0.9929824561403509,2,209,0.42857142857142855,0.5747863247863247,16,0.4254032258064516,
ColposcopyOnly_ViT,strict_loco,loco_恩施州中心医院,恩施州中心医院,武大人民医院,406,64,130,0.994619547217986,0.998307923026697,0.95,True,0.0625,0.9824561403508771,0.4,0.8484848484848485,60,6,0.1,0.9818840579710145,117,0.04433497536945813,
ColposcopyOnly_ViT,strict_loco,loco_武大人民医院,武大人民医院,恩施州中心医院,89,49,89,0.0015097437599966,0.0023046347146717,0.95,True,0.8163265306122449,0.275,0.5797101449275363,0.55,9,29,0.8314606741573034,,15,0.8314606741573034,
ColposcopyOnly_ViT,strict_loco,loco_荆州市第一人民医院,荆州市第一人民医院,武大人民医院,406,13,37,0.5484771651581949,0.9909427870175642,0.95,True,0.0,0.8702290076335878,0.0,0.9633802816901409,13,51,0.2702702702702703,0.6205962059620597,27,0.3694581280788177,
ColposcopyOnly_ViT,strict_loco,loco_襄阳市中心医院,襄阳市中心医院,武大人民医院,500,61,110,0.1360341256061759,0.1360341256061759,0.95,True,0.7377049180327869,0.34851936218678814,0.13595166163141995,0.9053254437869822,16,286,0.7181818181818181,0.35384615384615387,31,0.662,
HyDRA_CoE_Full,strict_loco,loco_十堰市人民医院,十堰市人民医院,武大人民医院,496,4,28,0.8821881985017164,0.8919896472598614,0.95,True,0.0,0.9878048780487805,0.0,0.9918367346938776,4,6,0.10714285714285714,0.9893162393162394,25,0.016129032258064516,
HyDRA_CoE_Full,strict_loco,loco_恩施州中心医院,恩施州中心医院,武大人民医院,406,64,130,0.8964351083780716,0.8964351083780716,0.95,True,0.390625,0.9269005847953217,0.5,0.8904494382022472,39,25,0.3,0.9601449275362319,91,0.12315270935960591,
HyDRA_CoE_Full,strict_loco,loco_武大人民医院,武大人民医院,恩施州中心医院,89,49,89,0.3448398599019373,0.2150378978489961,0.95,True,0.7551020408163265,0.425,0.6166666666666667,0.5862068965517241,12,23,0.6179775280898876,,34,0.6179775280898876,
HyDRA_CoE_Full,strict_loco,loco_荆州市第一人民医院,荆州市第一人民医院,武大人民医院,406,13,37,0.9391217163862884,0.9698902724966649,0.95,True,0.07692307692307693,0.9643765903307888,0.06666666666666667,0.969309462915601,12,14,0.16216216216216217,0.8888888888888888,31,0.11576354679802955,
HyDRA_CoE_Full,strict_loco,loco_襄阳市中心医院,襄阳市中心医院,武大人民医院,500,61,110,0.6416939397381147,0.8631757222070526,0.95,True,0.4098360655737705,0.8246013667425968,0.24509803921568626,0.9095477386934674,36,77,0.5181818181818182,0.5717948717948718,53,0.448,
OCTOnly_ViT,strict_loco,loco_十堰市人民医院,十堰市人民医院,武大人民医院,496,4,28,0.20508715090805757,0.3088547445242258,0.95,True,0.5,0.8373983739837398,0.024390243902439025,0.9951690821256038,2,80,0.21428571428571427,0.8226495726495726,22,0.17943548387096775,
OCTOnly_ViT,strict_loco,loco_恩施州中心医院,恩施州中心医院,武大人民医院,406,64,130,0.20569051171121816,0.20569051171121816,0.95,True,0.71875,0.3333333333333333,0.1678832116788321,0.8636363636363636,18,228,0.7769230769230769,0.37318840579710144,29,0.6748768472906403,
OCTOnly_ViT,strict_loco,loco_武大人民医院,武大人民医院,恩施州中心医院,89,49,89,0.1731751499371857,0.0147370444835408,0.95,True,0.7346938775510204,0.375,0.5901639344262295,0.5357142857142857,13,25,0.4606741573033708,,48,0.4606741573033708,
OCTOnly_ViT,strict_loco,loco_荆州市第一人民医院,荆州市第一人民医院,武大人民医院,406,13,37,0.8294156336197066,0.8294156336197066,0.95,True,0.6923076923076923,0.29770992366412213,0.031578947368421054,0.9669421487603306,4,276,0.7567567567567568,0.3035230352303523,9,0.7019704433497537,
OCTOnly_ViT,strict_loco,loco_襄阳市中心医院,襄阳市中心医院,武大人民医院,500,61,110,0.0010133457931145,0.8083365561682807,0.95,True,0.47540983606557374,0.8291571753986332,0.27884615384615385,0.9191919191919192,32,75,0.9636363636363636,0.06666666666666667,4,0.94,
