variant,source_variant,center,n,auroc,auprc,accuracy,sensitivity,specificity,ppv,npv,f1,balanced_accuracy,referral_rate,tp,fp,tn,fn
shared_lora_g0,g0,十堰市人民医院,496,0.7907509157509157,0.30229061413975755,0.7217741935483871,0.7142857142857143,0.7222222222222222,0.13333333333333333,0.976878612716763,0.2247191011235955,0.7182539682539683,0.3024193548387097,20,130,338,8
shared_lora_g0,g0,恩施州中心医院,406,0.6946488294314381,0.5630656869155347,0.7266009852216748,0.34615384615384615,0.9057971014492754,0.6338028169014085,0.746268656716418,0.44776119402985076,0.6259754738015608,0.1748768472906404,45,26,250,85
shared_lora_g0,g0,武大人民医院,89,,,0.651685393258427,0.651685393258427,,1.0,0.0,0.7891156462585034,,0.651685393258427,58,0,0,31
shared_lora_g0,g0,荆州市第一人民医院,406,0.6851241485387827,0.18427671412418484,0.7044334975369458,0.5135135135135135,0.7235772357723578,0.15702479338842976,0.9368421052631579,0.24050632911392406,0.6185453746429357,0.29802955665024633,19,102,267,18
shared_lora_g0,g0,襄阳市中心医院,500,0.49708624708624705,0.3087443375762736,0.56,0.44545454545454544,0.5923076923076923,0.23557692307692307,0.791095890410959,0.3081761006289308,0.5188811188811189,0.416,49,159,231,61
same_backbone_hydra_full,g1,十堰市人民医院,496,0.7907509157509157,0.30229061413975755,0.7217741935483871,0.7142857142857143,0.7222222222222222,0.13333333333333333,0.976878612716763,0.2247191011235955,0.7182539682539683,0.3024193548387097,20,130,338,8
same_backbone_hydra_full,g1,恩施州中心医院,406,0.6946488294314381,0.5630656869155347,0.7266009852216748,0.34615384615384615,0.9057971014492754,0.6338028169014085,0.746268656716418,0.44776119402985076,0.6259754738015608,0.1748768472906404,45,26,250,85
same_backbone_hydra_full,g1,武大人民医院,89,,,0.651685393258427,0.651685393258427,,1.0,0.0,0.7891156462585034,,0.651685393258427,58,0,0,31
same_backbone_hydra_full,g1,荆州市第一人民医院,406,0.6851241485387827,0.18427671412418484,0.7044334975369458,0.5135135135135135,0.7235772357723578,0.15702479338842976,0.9368421052631579,0.24050632911392406,0.6185453746429357,0.29802955665024633,19,102,267,18
same_backbone_hydra_full,g1,襄阳市中心医院,500,0.49708624708624705,0.3087443375762736,0.56,0.44545454545454544,0.5923076923076923,0.23557692307692307,0.791095890410959,0.3081761006289308,0.5188811188811189,0.416,49,159,231,61
shared_lora_g2,g2,十堰市人民医院,496,0.7692307692307693,0.24748361699455615,0.7741935483870968,0.6071428571428571,0.7841880341880342,0.1440677966101695,0.9708994708994709,0.2328767123287671,0.6956654456654456,0.23790322580645162,17,101,367,11
shared_lora_g2,g2,恩施州中心医院,406,0.7377090301003345,0.6214282642962252,0.729064039408867,0.4846153846153846,0.8442028985507246,0.5943396226415094,0.7766666666666666,0.5338983050847458,0.6644091415830546,0.26108374384236455,63,43,233,67
shared_lora_g2,g2,武大人民医院,89,,,0.550561797752809,0.550561797752809,,1.0,0.0,0.7101449275362319,,0.550561797752809,49,0,0,40
shared_lora_g2,g2,荆州市第一人民医院,406,0.7363216875411998,0.2754613257629058,0.6133004926108374,0.7567567567567568,0.5989159891598916,0.1590909090909091,0.9608695652173913,0.26291079812206575,0.6778363729583242,0.43349753694581283,28,148,221,9
shared_lora_g2,g2,襄阳市中心医院,500,0.4803962703962704,0.3020937022818267,0.498,0.45454545454545453,0.5102564102564102,0.2074688796680498,0.7683397683397684,0.2849002849002849,0.4824009324009324,0.482,50,191,199,60
shared_lora_g3,g3,十堰市人民医院,496,0.7844169719169719,0.2864721309349873,0.6411290322580645,0.75,0.6346153846153846,0.109375,0.9769736842105263,0.19090909090909092,0.6923076923076923,0.3870967741935484,21,171,297,7
shared_lora_g3,g3,恩施州中心医院,406,0.7045707915273133,0.5811859549367673,0.7266009852216748,0.35384615384615387,0.9021739130434783,0.6301369863013698,0.7477477477477478,0.45320197044334976,0.6280100334448161,0.17980295566502463,46,27,249,84
shared_lora_g3,g3,武大人民医院,89,,,0.6404494382022472,0.6404494382022472,,1.0,0.0,0.7808219178082192,,0.6404494382022472,57,0,0,32
shared_lora_g3,g3,荆州市第一人民医院,406,0.6934739617666447,0.19872055914687883,0.5985221674876847,0.7297297297297297,0.5853658536585366,0.15,0.9557522123893806,0.2488479262672811,0.6575477916941331,0.4433497536945813,27,153,216,10
shared_lora_g3,g3,襄阳市中心医院,500,0.502937062937063,0.2921706596432387,0.56,0.43636363636363634,0.5948717948717949,0.23300970873786409,0.7891156462585034,0.3037974683544304,0.5156177156177156,0.412,48,158,232,62
shared_lora_g4,g4,十堰市人民医院,496,0.7870879120879121,0.3020812091429117,0.7278225806451613,0.7142857142857143,0.7286324786324786,0.1360544217687075,0.9770773638968482,0.22857142857142856,0.7214590964590964,0.2963709677419355,20,127,341,8
shared_lora_g4,g4,恩施州中心医院,406,0.691304347826087,0.5594273971983132,0.7266009852216748,0.3923076923076923,0.8840579710144928,0.6144578313253012,0.7554179566563467,0.4788732394366197,0.6381828316610926,0.2044334975369458,51,32,244,79
shared_lora_g4,g4,武大人民医院,89,,,0.7752808988764045,0.7752808988764045,,1.0,0.0,0.8734177215189873,,0.7752808988764045,69,0,0,20
shared_lora_g4,g4,荆州市第一人民医院,406,0.6570717058521937,0.14733019217053547,0.6896551724137931,0.5405405405405406,0.7046070460704607,0.15503875968992248,0.9386281588447654,0.24096385542168675,0.6225737933055007,0.31773399014778325,20,109,260,17
shared_lora_g4,g4,襄阳市中心医院,500,0.5025407925407925,0.305186669476008,0.598,0.4090909090909091,0.6512820512820513,0.24861878453038674,0.7962382445141066,0.30927835051546393,0.5301864801864802,0.362,45,136,254,65
shared_lora_no_align,no_align,十堰市人民医院,496,0.7755647130647131,0.2513502178194674,0.6270161290322581,0.75,0.6196581196581197,0.10552763819095477,0.9764309764309764,0.18502202643171806,0.6848290598290598,0.4012096774193548,21,178,290,7
shared_lora_no_align,no_align,恩施州中心医院,406,0.7066610925306578,0.5794687381305513,0.7142857142857143,0.15384615384615385,0.9782608695652174,0.7692307692307693,0.7105263157894737,0.2564102564102564,0.5660535117056856,0.06403940886699508,20,6,270,110
shared_lora_no_align,no_align,武大人民医院,89,,,0.7415730337078652,0.7415730337078652,,1.0,0.0,0.8516129032258064,,0.7415730337078652,66,0,0,23
shared_lora_no_align,no_align,荆州市第一人民医院,406,0.7022632388486048,0.21959145486240508,0.7413793103448276,0.4594594594594595,0.7696476964769647,0.16666666666666666,0.9342105263157895,0.2446043165467626,0.6145535779682121,0.2512315270935961,17,85,284,20
shared_lora_no_align,no_align,襄阳市中心医院,500,0.49419580419580417,0.287246718095434,0.594,0.41818181818181815,0.6435897435897436,0.24864864864864866,0.7968253968253968,0.31186440677966104,0.5308857808857809,0.37,46,139,251,64
shared_lora_no_bridge,no_bridge,十堰市人民医院,496,0.7223748473748475,0.1347806035549251,0.6290322580645161,0.7142857142857143,0.6239316239316239,0.10204081632653061,0.9733333333333334,0.17857142857142858,0.6691086691086692,0.3951612903225806,20,176,292,8
shared_lora_no_bridge,no_bridge,恩施州中心医院,406,0.6794871794871795,0.5470273873581799,0.7266009852216748,0.3,0.927536231884058,0.6610169491525424,0.7377521613832853,0.4126984126984127,0.613768115942029,0.14532019704433496,39,20,256,91
shared_lora_no_bridge,no_bridge,武大人民医院,89,,,0.7303370786516854,0.7303370786516854,,1.0,0.0,0.8441558441558441,,0.7303370786516854,65,0,0,24
shared_lora_no_bridge,no_bridge,荆州市第一人民医院,406,0.5302131399692376,0.09257394006824393,0.41625615763546797,0.8108108108108109,0.37669376693766937,0.11538461538461539,0.952054794520548,0.20202020202020202,0.5937522888742401,0.6403940886699507,30,230,139,7
shared_lora_no_bridge,no_bridge,襄阳市中心医院,500,0.4708158508158508,0.2458827797791585,0.462,0.4909090909090909,0.45384615384615384,0.20224719101123595,0.759656652360515,0.2864721485411141,0.4723776223776224,0.534,54,213,177,56
shared_lora_no_bridge_module,no_bridge_module,十堰市人民医院,496,0.7425213675213675,0.1586974351216344,0.6713709677419355,0.6071428571428571,0.6752136752136753,0.10059171597633136,0.9663608562691132,0.17258883248730963,0.6411782661782661,0.3407258064516129,17,152,316,11
shared_lora_no_bridge_module,no_bridge_module,恩施州中心医院,406,0.6675306577480491,0.44782829274988056,0.6798029556650246,0.0,1.0,,0.6798029556650246,0.0,0.5,0.0,0,0,276,130
shared_lora_no_bridge_module,no_bridge_module,武大人民医院,89,,,0.7640449438202247,0.7640449438202247,,1.0,0.0,0.8662420382165605,,0.7640449438202247,68,0,0,21
shared_lora_no_bridge_module,no_bridge_module,荆州市第一人民医院,406,0.7790229253643888,0.24344735568631867,0.7906403940886699,0.7297297297297297,0.7967479674796748,0.2647058823529412,0.9671052631578947,0.38848920863309355,0.7632388486047023,0.2512315270935961,27,75,294,10
shared_lora_no_bridge_module,no_bridge_module,襄阳市中心医院,500,0.40976689976689973,0.20700421578779787,0.362,0.4727272727272727,0.33076923076923076,0.16613418530351437,0.6898395721925134,0.2458628841607565,0.40174825174825174,0.626,52,261,129,58
same_backbone_reliability_without_coe,no_center_reliability,十堰市人民医院,496,0.7755647130647131,0.2557212148117186,0.7560483870967742,0.7142857142857143,0.7585470085470085,0.15037593984962405,0.977961432506887,0.2484472049689441,0.7364163614163615,0.26814516129032256,20,113,355,8
same_backbone_reliability_without_coe,no_center_reliability,恩施州中心医院,406,0.6865245261984393,0.5535013710577417,0.6847290640394089,0.49230769230769234,0.7753623188405797,0.5079365079365079,0.7642857142857142,0.5,0.633835005574136,0.3103448275862069,64,62,214,66
same_backbone_reliability_without_coe,no_center_reliability,武大人民医院,89,,,0.651685393258427,0.651685393258427,,1.0,0.0,0.7891156462585034,,0.651685393258427,58,0,0,31
same_backbone_reliability_without_coe,no_center_reliability,荆州市第一人民医院,406,0.6848311726360508,0.22376813249775365,0.5246305418719212,0.7297297297297297,0.5040650406504065,0.12857142857142856,0.9489795918367347,0.21862348178137653,0.6168973851900681,0.5172413793103449,27,183,186,10
same_backbone_reliability_without_coe,no_center_reliability,襄阳市中心医院,500,0.48557109557109557,0.26743615644502255,0.662,0.34545454545454546,0.7512820512820513,0.2814814814814815,0.8027397260273973,0.31020408163265306,0.5483682983682984,0.27,38,97,293,72
same_backbone_reliability_without_coe,no_coe,十堰市人民医院,496,0.7844169719169719,0.2864721309349873,0.6411290322580645,0.75,0.6346153846153846,0.109375,0.9769736842105263,0.19090909090909092,0.6923076923076923,0.3870967741935484,21,171,297,7
same_backbone_reliability_without_coe,no_coe,恩施州中心医院,406,0.7045707915273133,0.5811859549367673,0.7266009852216748,0.35384615384615387,0.9021739130434783,0.6301369863013698,0.7477477477477478,0.45320197044334976,0.6280100334448161,0.17980295566502463,46,27,249,84
same_backbone_reliability_without_coe,no_coe,武大人民医院,89,,,0.6404494382022472,0.6404494382022472,,1.0,0.0,0.7808219178082192,,0.6404494382022472,57,0,0,32
same_backbone_reliability_without_coe,no_coe,荆州市第一人民医院,406,0.6934739617666447,0.19872055914687883,0.5985221674876847,0.7297297297297297,0.5853658536585366,0.15,0.9557522123893806,0.2488479262672811,0.6575477916941331,0.4433497536945813,27,153,216,10
same_backbone_reliability_without_coe,no_coe,襄阳市中心医院,500,0.502937062937063,0.2921706596432387,0.56,0.43636363636363634,0.5948717948717949,0.23300970873786409,0.7891156462585034,0.3037974683544304,0.5156177156177156,0.412,48,158,232,62
shared_lora_no_consist,no_consist,十堰市人民医院,496,0.7896825396825398,0.2359395118481285,0.8084677419354839,0.6428571428571429,0.8183760683760684,0.17475728155339806,0.9745547073791349,0.2748091603053435,0.7306166056166057,0.20766129032258066,18,85,383,10
shared_lora_no_consist,no_consist,恩施州中心医院,406,0.7052396878483835,0.5676774953353254,0.7216748768472906,0.34615384615384615,0.8985507246376812,0.6164383561643836,0.7447447447447447,0.4433497536945813,0.6223522853957637,0.17980295566502463,45,28,248,85
shared_lora_no_consist,no_consist,武大人民医院,89,,,0.3258426966292135,0.3258426966292135,,1.0,0.0,0.4915254237288136,,0.3258426966292135,29,0,0,60
shared_lora_no_consist,no_consist,荆州市第一人民医院,406,0.6996264557240168,0.18038783650556592,0.5492610837438424,0.7567567567567568,0.5284552845528455,0.13861386138613863,0.9558823529411765,0.23430962343096234,0.6426060206548012,0.4975369458128079,28,174,195,9
shared_lora_no_consist,no_consist,襄阳市中心医院,500,0.5284848484848484,0.3007452252149818,0.702,0.34545454545454546,0.8025641025641026,0.33043478260869563,0.812987012987013,0.3377777777777778,0.574009324009324,0.23,38,77,313,72
same_backbone_gated_fusion,no_cross_attn,十堰市人民医院,496,0.7171092796092796,0.15871396804202648,0.5846774193548387,0.8214285714285714,0.5705128205128205,0.10267857142857142,0.9816176470588235,0.18253968253968253,0.6959706959706959,0.45161290322580644,23,201,267,5
same_backbone_gated_fusion,no_cross_attn,恩施州中心医院,406,0.5660535117056857,0.3672507697030918,0.6822660098522167,0.007692307692307693,1.0,1.0,0.6814814814814815,0.015267175572519083,0.5038461538461538,0.0024630541871921183,1,0,276,129
same_backbone_gated_fusion,no_cross_attn,武大人民医院,89,,,0.0,0.0,,,0.0,0.0,,0.0,0,0,0,89
same_backbone_gated_fusion,no_cross_attn,荆州市第一人民医院,406,0.7489196513586758,0.2095643085881714,0.6699507389162561,0.7567567567567568,0.6612466124661247,0.1830065359477124,0.9644268774703557,0.29473684210526313,0.7090016846114408,0.3768472906403941,28,125,244,9
same_backbone_gated_fusion,no_cross_attn,襄阳市中心医院,500,0.384032634032634,0.19089083191437461,0.502,0.35454545454545455,0.5435897435897435,0.17972350230414746,0.7491166077738516,0.23853211009174313,0.4490675990675991,0.434,39,178,212,71
shared_lora_no_modality_likelihood,no_modality_likelihood,十堰市人民医院,496,0.7864774114774115,0.21985398466072162,0.8306451612903226,0.5,0.8504273504273504,0.16666666666666666,0.9660194174757282,0.25,0.6752136752136753,0.1693548387096774,14,70,398,14
shared_lora_no_modality_likelihood,no_modality_likelihood,恩施州中心医院,406,0.7039297658862876,0.582473429673346,0.7266009852216748,0.36923076923076925,0.894927536231884,0.6233766233766234,0.7507598784194529,0.463768115942029,0.6320791527313266,0.1896551724137931,48,29,247,82
shared_lora_no_modality_likelihood,no_modality_likelihood,武大人民医院,89,,,0.6179775280898876,0.6179775280898876,,1.0,0.0,0.7638888888888888,,0.6179775280898876,55,0,0,34
shared_lora_no_modality_likelihood,no_modality_likelihood,荆州市第一人民医院,406,0.6898850069581778,0.19183554311218257,0.6009852216748769,0.7027027027027027,0.5907859078590786,0.14689265536723164,0.9519650655021834,0.24299065420560748,0.6467443052808907,0.43596059113300495,26,151,218,11
shared_lora_no_modality_likelihood,no_modality_likelihood,襄阳市中心医院,500,0.5275291375291374,0.32947237526275974,0.464,0.5909090909090909,0.4282051282051282,0.22569444444444445,0.7877358490566038,0.32663316582914576,0.5095571095571095,0.576,65,223,167,45
shared_lora_no_ot,no_ot,十堰市人民医院,496,0.7223748473748475,0.1347806035549251,0.6290322580645161,0.7142857142857143,0.6239316239316239,0.10204081632653061,0.9733333333333334,0.17857142857142858,0.6691086691086692,0.3951612903225806,20,176,292,8
shared_lora_no_ot,no_ot,恩施州中心医院,406,0.6794871794871795,0.5470273873581799,0.7266009852216748,0.3,0.927536231884058,0.6610169491525424,0.7377521613832853,0.4126984126984127,0.613768115942029,0.14532019704433496,39,20,256,91
shared_lora_no_ot,no_ot,武大人民医院,89,,,0.7303370786516854,0.7303370786516854,,1.0,0.0,0.8441558441558441,,0.7303370786516854,65,0,0,24
shared_lora_no_ot,no_ot,荆州市第一人民医院,406,0.5302131399692376,0.09257394006824393,0.41625615763546797,0.8108108108108109,0.37669376693766937,0.11538461538461539,0.952054794520548,0.20202020202020202,0.5937522888742401,0.6403940886699507,30,230,139,7
shared_lora_no_ot,no_ot,襄阳市中心医院,500,0.4708158508158508,0.2458827797791585,0.462,0.4909090909090909,0.45384615384615384,0.20224719101123595,0.759656652360515,0.2864721485411141,0.4723776223776224,0.534,54,213,177,56
shared_lora_no_posterior,no_posterior,十堰市人民医院,496,0.7606837606837608,0.2775970005867338,0.6229838709677419,0.7857142857142857,0.6132478632478633,0.10837438423645321,0.9795221843003413,0.19047619047619047,0.6994810744810744,0.4092741935483871,22,181,287,6
shared_lora_no_posterior,no_posterior,恩施州中心医院,406,0.7025083612040134,0.5670546932614074,0.7167487684729064,0.35384615384615387,0.8876811594202898,0.5974025974025974,0.7446808510638298,0.4444444444444444,0.6207636566332219,0.1896551724137931,46,31,245,84
shared_lora_no_posterior,no_posterior,武大人民医院,89,,,0.42696629213483145,0.42696629213483145,,1.0,0.0,0.5984251968503937,,0.42696629213483145,38,0,0,51
shared_lora_no_posterior,no_posterior,荆州市第一人民医院,406,0.6943528894748408,0.21354287328529642,0.7389162561576355,0.3783783783783784,0.7750677506775068,0.14432989690721648,0.9255663430420712,0.208955223880597,0.5767230645279426,0.23891625615763548,14,83,286,23
shared_lora_no_posterior,no_posterior,襄阳市中心医院,500,0.48923076923076925,0.27514030758023295,0.32,0.6454545454545455,0.2282051282051282,0.19086021505376344,0.6953125,0.2946058091286307,0.43682983682983684,0.744,71,301,89,39
same_backbone_coe_without_reliability,no_variational,十堰市人民医院,496,0.7868589743589743,0.2447463158396802,0.8064516129032258,0.7142857142857143,0.811965811965812,0.18518518518518517,0.979381443298969,0.29411764705882354,0.7631257631257631,0.21774193548387097,20,88,380,8
same_backbone_coe_without_reliability,no_variational,恩施州中心医院,406,0.6944816053511706,0.5703000271742469,0.6822660098522167,0.47692307692307695,0.7789855072463768,0.5040650406504065,0.7597173144876325,0.4901185770750988,0.6279542920847269,0.30295566502463056,62,61,215,68
same_backbone_coe_without_reliability,no_variational,武大人民医院,89,,,0.7078651685393258,0.7078651685393258,,1.0,0.0,0.8289473684210527,,0.7078651685393258,63,0,0,26
same_backbone_coe_without_reliability,no_variational,荆州市第一人民医院,406,0.7035816304108987,0.3137898684122119,0.458128078817734,0.8108108108108109,0.42276422764227645,0.12345679012345678,0.9570552147239264,0.21428571428571427,0.6167875192265436,0.5985221674876847,30,213,156,7
same_backbone_coe_without_reliability,no_variational,襄阳市中心医院,500,0.4858974358974359,0.29454422955678333,0.634,0.41818181818181815,0.6948717948717948,0.2787878787878788,0.808955223880597,0.33454545454545453,0.5565268065268065,0.33,46,119,271,64
